id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
0,I,0.55,0.4125,0.1625,1.71514475,0.60951425,0.396893,0.56699,4.0
1,F,1.5125,1.2125,0.4,31.31202275,13.39513875,6.2652395,8.9300925,10.0
2,F,1.5125,1.175,0.4125,31.5529935,14.67086625,6.27941425,9.922325,11.0
3,I,0.8,0.6,0.2,4.6209685,3.01922175,0.97805775,1.417475,7.0
4,I,1.3875,1.0875,0.3625,24.323871,11.6516445,5.71242425,5.386405,8.0
5,F,1.4375,1.1375,0.425,23.88445375,10.87203325,5.8683465,6.6621325,12.0
6,M,1.6125,1.2625,0.45,43.1762885,17.3215445,10.58853825,11.453198,12.0
7,I,0.9375,0.725,0.225,7.994559,3.1467945,1.57339725,2.3530085,7.0
8,I,0.4,0.3,0.0875,0.5953395,0.21262125,0.12757275,0.1417475,4.0
9,F,1.65,1.3375,0.4375,41.00755175,17.8318355,10.2341695,11.3398,11.0
10,I,0.9375,0.675,0.2,6.577084,3.55786225,1.23320325,1.9561155,6.0
11,F,1.525,1.1625,0.375,27.79668475,13.05494475,5.6699,6.520385,8.0
12,F,1.5,1.1875,0.45,34.60056475,15.52135125,6.2652395,9.02931575,10.0
13,I,0.525,0.375,0.075,1.304077,0.32601925,0.1417475,0.1417475,4.0
14,F,1.5125,1.2,0.4125,31.99241075,13.62193475,7.597666,8.50485,12.0
15,M,1.4875,1.1625,0.45,36.003865,16.23008875,8.57572375,9.4970825,10.0
16,F,1.4375,1.2125,0.4125,29.993771,12.79979925,5.6699,8.0796075,11.0
17,I,1.025,0.775,0.2375,9.48290775,5.329706,2.08368825,2.4097075,7.0
18,F,1.3375,1.0875,0.35,22.622901,8.20718025,4.52174525,6.23689,9.0
19,I,1.3125,1.025,0.3625,21.8007655,9.68135425,4.26659975,6.23689,9.0
20,F,1.325,0.9875,0.35,18.086981,8.57572375,3.6003865,4.3941725,8.0
21,I,1.1875,0.9375,0.325,16.88212725,6.4920355,3.18931875,5.2446575,8.0
22,F,1.525,1.175,0.425,28.76056775,12.37455675,6.16601625,8.60407325,10.0
23,F,1.6375,1.275,0.475,39.19318375,17.0097,8.94426725,11.623295,19.0
24,M,1.675,1.3125,0.475,47.230267,21.7440665,10.44679075,11.623295,11.0
25,I,0.9375,0.6875,0.225,6.27941425,2.6365035,1.54504775,1.984465,7.0
26,I,1.4,1.075,0.3375,22.92057075,9.48290775,5.48562825,6.066793,8.0
27,F,1.475,1.1625,0.4125,28.16522825,11.35397475,7.9095105,7.7961125,11.0
28,I,0.725,0.5625,0.175,3.005047,1.5025235,0.72291225,0.850485,4.0
29,F,1.5625,1.25,0.4875,35.22425375,14.288148,7.994559,10.489315,11.0
30,F,1.45,1.1375,0.375,26.2799865,9.7805775,5.62737575,7.087375,10.0
31,I,0.6875,0.5,0.175,2.99087225,14.0330025,0.5386405,0.9922325,6.0
32,I,1.15,0.825,0.275,12.6722265,5.14543425,2.42388225,3.118445,7.0
33,I,1.25,0.95,0.3,17.36406875,8.60407325,4.025629,5.2446575,10.0
34,M,1.4,1.025,0.3625,27.08794725,11.29727575,5.54232725,7.66853975,12.0
35,M,1.425,1.0625,0.375,22.29688175,10.035723,4.989512,6.9456275,10.0
36,M,1.5125,1.2,0.4125,37.9032815,14.401546,7.711064,9.922325,15.0
37,M,1.475,1.1125,0.3875,30.51823675,11.679994,6.19436575,7.2291225,8.0
38,I,0.7,0.525,0.175,2.608154,1.077281,0.52446575,0.850485,5.0
39,M,1.4375,1.125,0.375,30.3623145,12.8990225,6.47786075,9.4970825,10.0
40,I,1.2625,1.0,0.3125,16.42853525,7.030676,3.07592075,4.9611625,8.0
41,I,0.9875,0.7,0.25,6.90310325,2.891649,1.757669,2.1262125,8.0
42,M,1.2625,1.0,0.3625,17.349894,5.57067675,3.55786225,6.520385,11.0
43,I,1.4,1.125,0.375,25.27357925,11.18387775,4.422522,7.72523875,11.0
44,I,1.1875,0.9125,0.3125,13.70698325,6.10931725,3.38776525,4.35164825,9.0
45,M,1.5875,1.2,0.3875,36.55668025,16.96717575,7.66853975,8.788345,11.0
46,M,1.5,1.1875,0.3875,29.5685285,12.00601325,6.2652395,8.3631025,11.0
47,I,0.725,0.5625,0.1625,3.515338,1.644271,0.69456275,0.9922325,7.0
48,M,1.4125,1.1375,0.4625,30.8159065,9.8372765,5.1879585,10.6310625,17.0
49,F,1.15,0.875,0.275,11.77921725,4.592619,2.67902775,3.685435,7.0
50,F,1.65,1.325,0.4375,48.94541175,21.262125,8.49067525,13.891255,11.0
51,I,1.325,1.0625,0.375,24.59319125,10.149121,4.422522,6.9456275,8.0
52,I,0.8125,0.625,0.2125,4.422522,2.4097075,1.077281,1.2757275,7.0
53,M,1.4375,1.1,0.425,26.251637,11.69416875,6.180191,7.2291225,9.0
54,F,1.5625,1.2125,0.4,33.40988575,16.20173925,7.8528115,7.767763,9.0
55,I,1.075,0.85,0.25,10.886208,5.10291,2.84912475,3.2601925,8.0
56,M,1.525,1.2125,0.375,31.014353,11.679994,6.180191,10.3475675,12.0
57,I,1.1875,0.9125,0.3,12.68640125,5.443104,2.721552,3.685435,8.0
58,I,1.1125,0.8125,0.3125,11.8217415,4.8477645,2.14038725,4.1106775,11.0
59,M,1.3,1.075,0.375,25.86891875,10.375917,4.86193925,7.2291225,11.0
60,F,1.475,1.1625,0.375,28.23706825,12.62970225,6.690482,8.3631025,11.0
61,M,1.3125,1.025,0.3625,18.10115575,8.34892775,4.40834725,5.5281525,12.0
62,M,1.6375,1.3125,0.425,42.2124055,19.7029025,7.9095105,9.4970825,9.0
63,M,1.6875,1.3,0.4625,47.230267,17.84601025,9.8939755,13.60776,11.0
64,I,0.4375,0.325,0.1375,0.9922325,0.35436875,0.226796,0.283495,4.0
65,F,1.425,1.15,0.425,31.18445,12.40290625,6.30776375,9.1568885,12.0
66,F,1.65,1.25,0.4375,37.761534,18.9091165,8.54737425,10.0640725,10.0
67,I,1.15,0.9,0.275,15.35125425,6.13766675,2.9766975,4.53592,9.0
68,F,1.5625,1.25,0.4125,31.4395955,16.48523425,7.0023265,8.9300925,10.0
69,F,1.5375,1.2,0.425,36.0322145,13.947954,8.23552975,12.8990225,15.0
70,F,1.7,1.3,0.425,42.921143,16.57028275,8.46232575,11.3398,14.0
71,I,0.6875,0.5125,0.175,2.721552,1.0489315,0.52446575,0.850485,7.0
72,I,1.1625,0.9,0.275,13.39513875,5.0745605,2.93417325,3.96893,8.0
73,I,1.2,0.9375,0.35,17.463292,7.3992195,3.118445,5.0745605,8.0
74,M,1.5625,1.2,0.4,33.8776525,17.349894,6.973977,8.51902475,9.0
75,F,1.4625,1.1375,0.375,26.43590875,10.2341695,5.2446575,8.788345,12.0
76,I,0.8125,0.6,0.225,4.86193925,1.871067,0.963883,1.70097,8.0
77,F,1.2375,0.975,0.3375,17.19397175,7.484268,3.6570855,5.6699,11.0
78,I,1.375,1.0375,0.3875,20.28406725,8.97261675,4.989512,6.80388,8.0
79,F,1.225,0.975,0.35,19.06503875,6.90310325,4.195726,5.953395,17.0
80,M,1.575,1.2125,0.4,35.02580725,16.23008875,8.32057825,9.4970825,10.0
81,Diameter,1.375,1.1125,0.4,23.8986285,8.34892775,4.5075705,8.17883075,19.0
82,I,1.475,1.125,0.3375,24.9192105,8.4198015,5.20213325,7.654365,16.0
83,I,1.3,1.0,0.3125,16.896302,7.427569,4.5075705,4.9611625,8.0
84,M,1.25,0.9375,0.35,15.365429,6.8322295,3.288542,5.2446575,11.0
85,I,1.375,1.0625,0.3375,21.9708625,10.489315,4.479221,6.23689,9.0
86,F,1.1875,0.9375,0.3125,15.71979775,8.3631025,3.345241,4.819415,7.0
87,I,1.3375,1.0,0.3375,17.236496,7.83863675,3.4869885,5.20213325,9.0
88,I,1.3125,1.0,0.3125,17.84601025,8.50485,3.58621175,5.10291,8.0
89,M,1.6625,1.3125,0.45,41.4753185,17.98775775,9.9506745,12.3320325,14.0
90,M,1.5375,1.3,0.475,36.95357325,13.437663,7.3992195,12.757275,18.0
91,I,1.1875,0.8875,0.275,12.3320325,5.1312595,2.721552,3.96893,8.0
92,F,1.2125,0.9875,0.3,16.3009625,6.78970525,3.6003865,4.3941725,12.0
93,I,1.1875,0.8875,0.275,13.2392165,6.2652395,2.50893075,4.1673765,8.0
94,M,1.7,1.3375,0.5125,51.2275465,18.5122235,13.62193475,17.57669,17.0
95,I,1.3875,1.1125,0.375,20.96445525,9.87980075,4.5075705,6.6621325,8.0
96,I,0.4,0.3,0.075,0.8221355,0.396893,0.12757275,0.21262125,5.0
97,I,0.75,0.55,0.2125,3.515338,1.474174,0.75126175,0.9922325,5.0
98,F,1.5125,1.1875,0.375,31.2694985,13.25339125,5.8683465,9.1568885,11.0
99,I,0.875,0.6625,0.2125,5.783298,2.7499015,1.1623295,1.8994165,6.0
100,I,1.1375,0.875,0.3125,14.07552675,6.0384435,2.8066005,4.2240755,9.0
101,M,1.425,1.1375,0.3875,28.91649,13.5794105,6.08096775,8.06543275,11.0
102,M,1.5,1.1625,0.4,29.10076175,12.23280925,7.7961125,8.221355,9.0
103,M,0.85,0.6625,0.2125,6.0384435,2.721552,1.4458245,2.08368825,9.0
104,M,1.475,1.1625,0.3875,26.705229,11.453198,5.93922025,7.7961125,12.0
105,F,1.6875,1.375,0.4375,35.76289425,14.3164975,7.257472,11.3398,18.0
106,M,1.275,1.0,0.325,19.43358225,9.19941275,4.01145425,5.8116475,8.0
107,I,0.825,0.5875,0.1875,4.6209685,1.644271,0.907184,1.3324265,7.0
108,M,1.55,1.2,0.3875,28.22192725,11.0846545,6.8889285,9.4970825,10.0
109,F,1.6125,1.2625,0.475,36.55668025,16.6411565,7.767763,11.90679,12.0
110,F,1.3,1.025,0.3625,20.921931,7.257472,4.01145425,7.087375,9.0
111,F,1.7625,1.4125,0.5375,47.58463575,21.8007655,12.06271225,12.85649825,9.0
112,M,1.1875,0.8875,0.3125,16.51358375,7.32834575,3.5436875,3.96893,9.0
113,F,1.6,1.25,0.3875,35.13920525,15.52135125,9.1568885,8.50485,12.0
114,F,1.25,0.95,0.4,18.71067,7.7961125,4.06815325,7.5126175,15.0
115,I,0.8375,0.65,0.2125,5.6699,2.25378525,0.8788345,1.70097,6.0
116,M,1.475,1.175,0.4,29.9087225,12.79979925,6.64795775,8.50485,11.0
117,I,1.125,0.8375,0.3125,12.5021295,5.28718175,2.48058125,3.33106625,9.0
118,M,1.1125,0.875,0.35,13.777857,6.33611325,2.50893075,4.53592,8.0
119,M,1.85,1.3875,0.475,53.28288525,25.0893075,12.643877,15.03940975,12.0
120,F,1.475,1.1625,0.4,29.8520235,12.1052365,6.22271525,8.3631025,11.0
121,M,1.625,1.3125,0.475,38.71124225,16.8112535,8.278054,10.3475675,16.0
122,F,1.4625,1.1875,0.4125,26.52095725,13.7495075,5.40057975,7.087375,9.0
123,I,0.65,0.5,0.1875,3.0900955,1.37495075,0.907184,0.9922325,5.0
124,F,1.45,1.125,0.375,25.7696955,10.61688775,5.11708475,7.824462,9.0
125,I,0.4625,0.3375,0.125,0.7654365,0.2551455,0.226796,0.2551455,4.0
126,I,0.975,0.75,0.225,7.35669525,3.55786225,1.247378,2.26796,7.0
127,I,0.975,0.7375,0.25,7.9662095,2.84912475,1.63009625,2.551455,7.0
128,F,1.6125,1.25,0.45,38.5836695,17.463292,9.241937,9.1001895,10.0
129,F,1.425,1.125,0.3875,21.4038725,9.99319875,5.20213325,6.066793,8.0
130,M,1.1375,0.9375,0.275,14.41572075,5.953395,2.891649,4.195726,8.0
131,F,1.3,1.0,0.3125,17.53416575,5.96756975,3.58621175,6.520385,16.0
132,I,0.8125,0.625,0.1875,4.422522,1.60174675,1.1623295,1.417475,6.0
